编号	单位	联系人	研究方向
1	北京大学	朱怀球	生物信息
2	北京大学口腔医院	陈峰	口腔
3	北京大学人民医院	徐俊/张一帆	医学
4	北京大学深圳研究生院	余珂	环境
5	常熟理工学院	李杰	三代测序
6	第三军医大学	魏泓/商海涛	无菌动物
7	东北林业大学	牛犇	林木微生物组
8	广东省生态环境技术研究所	孙蔚旻	土壤微生物
9	河南农业大学	张晓婷	农业微生物组
10	湖南农业大学	黄鹏	家禽肠道
11	湖南师范大学	尹佳	猪肠道
12	华北电力大学	郑茂盛	环境污水处理
13	华中农业大学	谢卡斌/宋露样	植物扩增子建库方法
14	华中师范大学	谢波	微生物种间相互作用
15	军事医学科学院	杨瑞馥/毕玉晶	医学
16	南方医科大学	周宏伟	医学
17	南京农业大学	成艳芬	反刍动物
18	南京农业大学	韦中	根际微生态与土传病害防控
19	南京医科大学	刘星吟	医学
20	南京医科大学	张发明	粪菌移植
21	清华大学	胡九龙	肠道菌群免疫
22	山东农业大学	高峥	农业微生物组
23	上海海洋大学	肖劲洲	海水宏病毒组
24	上海交通大学	蹇华哗	海洋微生物
25	上海交通大学	赵立平	医学
26	深圳谱元科技有限公司	覃俊杰	微生物组方法
27	西北农林科技大学	焦硕	土壤微生物生态
28	西北农林科技大学	林雁冰	根际微生物
29	西湖大学	鞠峰	环境微生物组与生物技术
30	新疆农业科学院微生物应用研究所	史应武	植物健康微生态与作物病害防控组
31	扬州大学	张云增	柑橘微生物组
32	浙江大学	陈云	小麦赤霉病
33	浙江大学	马斌	网络
34	浙江中医药大学附属金华中医院	钱旭波	医学
35	中国科学院北京生命科学研究院	赵方庆	方法、分析
36	中国科学院城市环境研究所	杨军	水体
37	中国科学院城市环境研究所	赵峰/郑越	古菌进化
38	中国科学院城市环境研究所	朱永官	环境土壤
39	中国科学院动物研究所	葛德燕	小型野生动物
40	中国科学院动物研究所	王德华/薄亭贝	哺乳动物肠道菌群与神经调控
41	中国科学院南京地理与湖泊研究所	王建军	湖底沉积物
42	中国科学院南京土壤研究所	褚海燕	土壤微生物组
43	中国科学院南京土壤研究所	贾仲君	土壤微生物功能组
44	中国科学院南京土壤研究所	梁玉婷	土壤微生物功能组
45	中国科学院青藏高原研究所	孔维栋	高原
46	中国科学院青岛生物能源与过程研究所	徐健	单细胞
47	中国科学院上海巴斯德研究所	崔杰	病毒组
48	中国科学院深圳先进技术研究院	戴磊	微生物组工程
49	中国科学院深圳先进技术研究院	马迎飞	噬菌体
50	中国科学院生态环境研究中心	邓晔	微生物生态学
51	中国科学院生态环境研究中心	韩丽丽	土壤宏病毒组
52	中国科学院生态环境研究中心	张丽梅	微生物生态，土壤氮循环
53	中国科学院天津工业生物技术研究所	王敬敬	合成群落
54	中国科学院天津工业生物技术研究所	赵维	微生物群落分析
55	中国科学院微生物研究所	蔡磊	真菌基因组、可培养组
56	中国科学院微生物研究所	胡松年	细菌基因组
57	中国科学院微生物研究所	刘双江	环境微生物学
58	中国科学院微生物研究所	王军	三代测序
59	中国科学院微生物研究所	朱宝利	病原微生物、人体肠道微生物菌群
60	中国科学院遗传与发育生物学研究所	白洋	植物微生物组
61	中国科学院遗传与发育生物学研究所	刘永鑫	宏基因组数据分析
62	中国科学院遗传与发育生物学研究所农业资源研究中心	刘彬彬	小麦微生物组、氮循环
63	中国科学院遗传与发育生物学研究所农业资源研究中心	朱峰	昆虫微生物组
64	中国科学院植物研究所	杨文强	藻类
65	中国林业科学研究院	袁志林	森林微生物组
66	中国农业大学	戴兆来	单胃动物
67	中国农业大学	冯固	土壤生态学
68	中国农业大学	彭静静	土壤微生物组
69	中国农业科学院北京畜牧兽医研究所	赵圣国	动物胃肠道微生物
70	中国农业科学院草原研究所	强晓晶	内生真菌发酵
71	中国农业科学院农业环境与可持续发展研究所	韩东飞	细菌转录组
72	中国农业科学院生物技术研究所	田健	功能微生物的筛选
73	中国中医科学院	陈同	数据分析和可视化
74	中山大学	丁涛	人体微生物组
