编号	姓名	单位	投稿题目	研究对象
1	朱怀球	北京大学	基于宏基因组的炎症肠道疾病（IBD）诊断方法	人类
2	朱怀球	北京大学	宏基因组高通量测序的基因预测和注释方法	通用
3	朱怀球	北京大学	宏基因组高通量测序的序列拼接优化平台	通用
4	朱怀球	北京大学	微生物组样本多组学大规模比较分析平台	通用
5	朱怀球	北京大学	基于功能基因的微生物群落结构预测方法	通用
6	朱怀球	北京大学	微生物群落非染色体DNA（噬菌体、质粒）注释及分析平台	通用
7	陈峰	北京大学口腔医院	口腔微生物基因组研究常见取样部位与方法：唾液、齿面菌斑、龈下菌斑	人类
8	陈峰	北京大学口腔医院	口腔常见微生物培养：链球菌、乳酸菌、白色念珠菌	人类
9	徐俊	北京大学人民医院	EGFP-E.coli 荧光标记菌株的构建	细菌
10	徐俊	北京大学人民医院	人肠黏膜细菌、真菌菌群DNA的提取	人类
11	魏泓/商海涛	第三军医大学	无菌小鼠肠道菌群移植	动物
12	魏泓/商海涛	第三军医大学	无菌小鼠菌群样本采集	动物
13	魏泓/商海涛	第三军医大学	无菌小鼠肿瘤移植	动物
14	魏泓/商海涛	第三军医大学	无菌小鼠免疫重建	动物
15	魏泓/商海涛	第三军医大学	无菌小鼠注射给药	动物
16	魏泓/商海涛	第三军医大学	无菌小鼠采血	动物
17	魏泓/商海涛	第三军医大学	无菌小鼠的粪菌、单菌、多菌移植技术方法	动物
18	牛犇	东北林业大学	植物根系简化合成菌群的构建与定量	植物
19	孙蔚旻	广东省生态环境技术研究所	DNA-稳定同位素探针与宏基因组联用技术	环境
20	黄鹏	湖南农业大学	家禽肠道食糜与黏膜微生物样品采集与保存	动物
21	黄鹏	湖南农业大学	家禽肠道食糜与黏膜微生物DNA与RNA提取	动物
22	尹佳	湖南师范大学	检验对多种病原菌的拮抗性： 抑菌圈实验	细菌
23	尹佳	湖南师范大学	检验表面粘附能力： 疏水、自凝集、共凝集实验	细菌
24	尹佳	湖南师范大学	耐酸性实验、耐胆碱实验及模拟胃肠实验	细菌
25	尹佳	湖南师范大学	检验高温下的耐受程度：耐热实验	细菌
26	尹佳	湖南师范大学	检测对多种抗生素的敏感性：药敏实验	细菌
